Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;VixFix;Delta CloseVWAP
03/05/2023;33380,4;33472,6;32932,3;33117,3;358,61;177625;43,07;33370,61;33056,95;33487,74;3,418958828;-370,44
04/05/2023;33226,1;33751,8;33163;33668,2;390,43;120408;52,47;33382,28;33063,03;33520,85;2,74238154;147,35
07/05/2023;33666,1;33775,6;33504,9;33621,5;384,76;94731;51,69;33391,66;33068,59;33533,55;1,739686375;87,95
08/05/2023;33561,6;33652,1;33463,6;33567,8;385,41;95447;50,76;33398,56;33073,56;33537,41;1,860807494;30,39
09/05/2023;33597,8;33782,1;33233,1;33539,1;407,74;136727;50,23;33404,08;33078,19;33537,65;2,536798238;1,45
10/05/2023;33536;33606,3;33106;33307,4;430,48;140327;46,11;33400,28;33080,47;33508,89;2,90954628;-201,49
11/05/2023;33355,8;33484,3;33108,9;33300,1;439,02;114157;45,98;33396,36;33082,65;33489,63;2,901041407;-189,53
14/05/2023;33390,4;33448,3;33156,6;33342;435,05;99651;46,9;33394,22;33085,23;33478,62;2,761150915;-136,62
15/05/2023;33252,4;33340,4;33006,1;33013,1;429,55;108302;41,04;33379,28;33084,52;33443,74;3,202524481;-430,64
16/05/2023;33010,7;33479,4;32997,5;33416,3;424,34;105656;49,38;33380,73;33087,82;33441,88;3,227745827;-25,58
17/05/2023;33349,4;33578,8;33211,7;33541,3;417,77;126472;51,67;33387,03;33092,33;33449,37;2,599558333;91,93
18/05/2023;33536,6;33658,4;33321,7;33425,9;425,07;123807;49,45;33388,55;33095,65;33447,76;2,276959713;-21,86
21/05/2023;33365,3;33512,4;33198,9;33285,4;400,68;107489;46,81;33384,51;33097,54;33438,62;2,637097082;-153,22
22/05/2023;33292,5;33313,3;33004,7;33067,6;392,44;117791;42,99;33372,08;33097,24;33417,05;3,206630281;-349,45
23/05/2023;33055,8;33058,7;32750;32800,9;376,53;126787;38,81;33349,68;33094,29;33380,78;3,953592722;-579,88
24/05/2023;32703;32873,8;32583,7;32764,3;351,93;147777;38,26;33326,72;33091,01;33341,19;4,441303181;-576,89
25/05/2023;32781,1;33168,5;32697;33088,4;366,27;118634;45,61;33317,38;33090,98;33328,79;4,109026603;-240,39
28/05/2023;33199,2;33229,1;33122,3;33130,3;362,86;25286;46,5;33310,04;33091,37;33326,74;2,86174303;-196,44
29/05/2023;33148,6;33188;32889,3;33059,3;344,98;124191;45,15;33300,21;33091,05;33313,81;3,400299586;-254,51
30/05/2023;32874,6;33001,3;32729,9;32928;332,77;122887;42,7;33285,61;33089,43;33296,2;2,817499436;-368,2
31/05/2023;32868,3;33174;32682,4;33066,9;341,07;124589;46,04;33277,03;33089,21;33066,9;2,927985458;0
01/06/2023;33138;33807,3;33132;33759,2;373,12;115075;58,91;33295,94;33095,87;33399,31;1,85786393;359,89
04/06/2023;33802,3;33827,8;33554,2;33577,7;368,67;116676;55,19;33306,99;33100,67;33457,72;0,607241878;119,98
05/06/2023;33534,4;33634;33406,4;33575,2;350,51;108046;55,14;33317,51;33105,39;33485,05;1,045048461;90,15
06/06/2023;33550;33710,1;33500;33669,1;339,29;112145;56,78;33331,3;33111;33520,85;0,767790706;148,25
07/06/2023;33652,9;33877;33592,3;33836;335,58;115191;59,6;33351,09;33118,21;33573,33;0,720238799;262,67
08/06/2023;33764,7;33977,9;33711,6;33885,4;332,21;114936;60,42;33372,04;33125,85;33617,8;0,512905263;267,6
11/06/2023;33935,5;34080;33866,1;34073;325,44;102062;63,46;33399,53;33135,27;33668,92;0,607225663;404,08
12/06/2023;34099,7;34310,4;34039,1;34217,9;322,14;111137;65,66;33431,63;33146,04;33728,75;0,522533528;489,15
13/06/2023;34142,5;34197;33773,7;33975,7;333,14;113282;59,25;33452,96;33154,3;33753,44;1,298150968;222,26
14/06/2023;33921;34493,6;33854,1;34410,7;345,14;133932;65,72;33490,52;33166,8;33822,91;1,617520132;587,79
15/06/2023;34400,5;34574,7;34283;34303;355,93;123277;63,05;33522,38;33178,11;33865,48;0,371105499;437,52
18/06/2023;34274,1;34310,6;34170,8;34228,3;344,58;36369;61,19;33550,06;33188,56;33874,73;0,69716687;353,57
19/06/2023;34169,3;34236,8;33908,3;34062,3;344,51;109532;57,16;33570,15;33197,25;33888,1;1,460010985;174,2
20/06/2023;34013,1;34101,7;33871,7;33952,1;325,83;110356;54,59;33585,13;33204,76;33892,39;1,56637325;59,71
21/06/2023;33937,6;34008,6;33822,6;33939,4;286,23;122874;54,29;33599,02;33212,07;33895,65;1,709061426;43,75
22/06/2023;33825,2;33872,1;33623,3;33717,4;289,26;108171;49,16;33603,67;33217,1;33885,38;2,288241739;-167,98
25/06/2023;33773,1;33820;33608;33719,4;288,15;113956;49,2;33608,2;33222,1;33875,89;2,332704653;-156,49
26/06/2023;33798,3;33977,1;33653,9;33931,8;296,23;102774;54,02;33620,89;33229,16;33878,63;2,19931591;53,17
27/06/2023;33912,1;33968,8;33754,6;33853,7;291,19;109352;52,07;33630,02;33235,37;33877,39;1,906674377;-23,69
28/06/2023;33919,4;34152,1;33810;34116,5;296,61;119105;57,63;33649,1;33244,14;33889,65;1,745677943;226,85
29/06/2023;34095,5;34472,9;34088,5;34412,4;308,79;91047;62,85;33679,03;33255,76;33909,37;0,941230487;503,03
02/07/2023;34400,8;34468,8;34289,5;34431,3;302,21;58335;63,17;33708,54;33267,46;34419,78;0,411834581;11,52
03/07/2023;34425,5;34432;34365,5;34377,4;275,24;22675;61,58;33734,77;33278,51;34414,2;0,191105186;-36,8
04/07/2023;34339;34378,4;34218,5;34280,4;240,98;84242;58,71;33756,16;33288,47;34370,22;0,618042305;-89,82
05/07/2023;34242,7;34246,7;33767,9;33925,8;256,75;109019;49,62;33762,82;33294,82;34237,59;1,926735267;-311,79
06/07/2023;33890,2;34037,3;33709;33736;270,21;101454;45,55;33761,76;33299,21;34128,57;2,097800548;-392,57
09/07/2023;33649,1;33966,9;33607,6;33944,3;272,41;93948;50,36;33768,92;33305,62;34097,7;2,392300029;-153,4
10/07/2023;33986,3;34291,1;33857,3;34264,1;286,97;94225;56,68;33788,34;33315,16;34121,64;1,667087795;142,46
11/07/2023;34264,7;34586,5;34254,6;34345,1;297,39;103539;58,14;33810,17;33325,41;34152,14;0,513195842;192,96
12/07/2023;34385,4;34472,7;34363,9;34396,9;283,93;86525;59,08;33833,18;33336,07;34177,2;0,195752121;219,7
13/07/2023;34316,3;34599,8;34316,3;34499,5;289,04;97345;60,97;33859,31;33347,65;34210,5;0,531022189;289
16/07/2023;34464,3;34669,6;34406,8;34583,1;284,72;76716;62,48;33887,7;33359,94;34238,55;0,509786572;344,55
17/07/2023;34578,2;34993,8;34516,3;34959;303,53;86451;68,41;33929,71;33375,85;34294,89;1,26634057;664,11
18/07/2023;35012;35235,8;34923,9;35075,1;301,37;100973;69,99;33974,63;33392,76;34360,18;0,431075036;714,92
19/07/2023;35061;35371,1;35026,2;35228,1;298,55;113887;71,98;34023,78;33411,02;34435,04;0,573122025;793,06
20/07/2023;35292,1;35342,4;35176,9;35222,3;297,56;96747;71,79;34070,78;33429,04;34488,79;0,145338522;733,51
23/07/2023;35224,7;35465,6;35222,7;35415,5;310,19;83539;74,28;34123,52;33448,81;34540,38;0,544394404;875,12
24/07/2023;35427,4;35531,3;35364,5;35440;310,69;76850;74,58;34175,14;33468,62;34584,2;0,213036117;855,8
25/07/2023;35429,1;35643,1;35310,2;35529,6;297,86;105136;75,72;34228,26;33489,13;34643,27;0,617513285;886,33
26/07/2023;35516,6;35688,5;35215;35291;308,23;125439;67,1;34269,94;33507,06;34688,21;0,885458885;602,79
27/07/2023;35358,4;35567,4;35311,4;35449,8;302,31;101380;69,58;34316,2;33526,39;34728,65;0,614135819;721,15
30/07/2023;35442,5;35569,6;35427,7;35559,6;281,46;87921;71,2;34364,97;33546,62;34765,22;0,370926557;794,38
31/07/2023;35552,8;35678;35442,8;35636;274,55;89391;72,3;34414,81;33567,41;35636;0,542148389;0
01/08/2023;35513,9;35565,4;35224,4;35284,6;294,84;120353;60,77;34448,92;33584,5;35434,36;1,155011786;-149,76
02/08/2023;35359,4;35362;35114;35204;292,3;142174;58,47;34478,53;33600,61;35341,3;1,464810865;-137,3
03/08/2023;35285,9;35511,5;35029,4;35065,4;307,96;127669;54,63;34501,54;33615,19;35267,85;1,702211247;-202,45
06/08/2023;35156,9;35500,2;35093,9;35475,1;304,91;101500;62,47;34539,72;33633,69;35304,05;1,521214502;171,05
07/08/2023;35381,6;35417,8;35004,3;35318,6;316,26;119775;58,32;34570,27;33650,46;35306,54;1,772645639;12,06
08/08/2023;35326,2;35411,2;35053,1;35113,5;317,21;112410;53,33;34591,57;33665,02;35279,86;1,635705466;-166,36
09/08/2023;35209,5;35574;35109;35172,5;338,6;160009;54,54;34614,35;33680,02;35262,21;1,478841621;-89,71
10/08/2023;35213,7;35360,8;35046,3;35283,3;343,69;133144;56,79;34640,59;33695,97;35264,75;1,654787294;18,55
13/08/2023;35257,3;35395,2;35165,5;35302,7;348,18;120166;57,2;34666,55;33711,96;35268,46;1,320294085;34,24
14/08/2023;35277,9;35307,8;34903;34943,5;353,31;136047;48,27;34677,41;33724,21;35236,02;2,056908744;-292,52
15/08/2023;34962,2;35135,8;34753,8;34767,3;346,78;131123;44,59;34680,94;33734,59;35194,87;2,475586486;-427,57
16/08/2023;34756,1;34890,7;34438,7;34466,7;359,32;142872;39,11;34672,54;33741,87;35131,31;3,359804692;-664,61
17/08/2023;34503,3;34593,6;34261,5;34507,1;372,91;142492;40,18;34666,05;33749,49;35081,31;3,857054664;-574,21
20/08/2023;34481,2;34649,2;34248,7;34460,4;384,71;119431;39,32;34657,98;33756,56;35042,25;3,892973398;-581,85
21/08/2023;34465,7;34591,6;34255,2;34293;379,34;115273;36,34;34643,67;33761,9;34999,37;3,874733416;-706,37
22/08/2023;34380,7;34538;34289,1;34473;379,41;104985;41,48;34636,98;33768,98;34973,29;3,779604894;-500,29
23/08/2023;34468,3;34694,4;34097,6;34101,6;387,6;147037;35,17;34615,98;33772,29;34916,72;4,316982826;-815,12
24/08/2023;34135,3;34447,1;34024;34339,1;386,76;138106;41,32;34605,12;33777,93;34883,54;4,523515546;-544,44
27/08/2023;34436,8;34664,5;34398,8;34566,6;376,38;109593;46,55;34603,61;33785,77;34869,72;3,47177012;-303,12
28/08/2023;34584,6;34865,4;34493;34862,9;377,4;100528;52,49;34613,78;33796,49;34869,46;3,207430688;-6,56
29/08/2023;34825,2;35026,4;34786,1;34893;361,35;111796;53,06;34624,73;33807,4;34870,42;2,384947806;22,58
30/08/2023;34957,7;35098,4;34731,2;34744,2;365,11;119910;49,87;34629,42;33816,72;34865,1;2,096963786;-120,9
31/08/2023;34782,6;34973,4;34716,5;34826,1;367,06;118777;51,6;34637,13;33826,77;34826,1;2,138401301;0
03/09/2023;34869,8;34935,6;34757;34794,5;350,9;29772;50,87;34643,3;33836,4;34819,77;2,024236718;-25,27
04/09/2023;34769,8;34888,2;34634,4;34644,3;341,74;102592;47,45;34643,34;33844,43;34748,09;2,369831234;-103,79
05/09/2023;34626,4;34628,9;34286,2;34443,7;335,04;110070;43,26;34635,51;33850,4;34655,33;2,923105672;-211,63
06/09/2023;34429,8;34562,2;34331,1;34500,1;327,82;122359;44,74;34630,2;33856,86;34616,05;2,752197424;-115,95
07/09/2023;34572,8;34594,6;34411,1;34447,7;312,32;20075;43,6;34623,04;33862,74;34609,34;2,525585862;-161,64
26/07/2009;9093,09;9123,4;9034,52;9108,51;129,72;0;72;8520,55;8770,77;NaN;NaN;#VALORE!
27/07/2009;9106,92;9124,91;9007,47;9096,72;128,66;0;71,21;8543,14;8774,01;NaN;NaN;#VALORE!
28/07/2009;9092,34;9094,83;9014,19;9070,72;128,6;0;69,39;8563,83;8776,96;NaN;NaN;#VALORE!
29/07/2009;9072,84;9246,43;9072,61;9154,46;134,68;0;71,88;8587;8780,72;NaN;NaN;#VALORE!
30/07/2009;9154,61;9218,77;9133,45;9171,61;126,4;0;72,37;8609,92;8784,61;NaN;NaN;#VALORE!
02/08/2009;9173,65;9298,43;9173,65;9286,56;130,03;0;75,49;8636,46;8789,6;NaN;NaN;#VALORE!
