Time;Open;High;Low;Close;ATR;VolumeTick;RSI 14;EMA 50;EMA 200;VWAP Mensile;Delta CloseVWAP
22/02/2021;3892,9;3895,2;3808,4;3873;38,89;82100;51,44;3806,44;3507,38;3883,9;-10,9
23/02/2021;3862,2;3928,3;3859;3918,6;41,05;69082;58,15;3810,84;3511,48;3887,19;31,41
24/02/2021;3936;3936;3823,4;3847,7;46,86;93324;47,23;3812,29;3514,82;3882,7;-35
25/02/2021;3812,4;3861,6;3788,1;3834,6;50,34;127686;45,52;3813,16;3518;3876,23;-41,63
28/02/2021;3842,5;3915,1;3842,5;3912,1;54,89;49492;55,7;3817,04;3521,93;3912,1;0
01/03/2021;3888;3906,3;3869,5;3896,1;54,37;66382;53,48;3820,14;3525,65;3902,93;-6,83
02/03/2021;3888,5;3900,5;3827,9;3846,2;57,04;77778;47,16;3821,16;3528,84;3880,15;-33,95
03/03/2021;3805,8;3844,4;3722,9;3776,3;63,72;123446;40,03;3819,4;3531,3;3839,72;-63,42
04/03/2021;3766,8;3836,8;3730,9;3835,9;68,64;126192;47,34;3820,05;3534,33;3838,63;-2,73
07/03/2021;3827,6;3881,4;3798,6;3852,1;71,95;102572;49,16;3821,31;3537,49;3841,16;10,94
08/03/2021;3839,5;3903,2;3835,5;3894,5;74,24;63670;53,66;3824,18;3541,05;3846,73;47,77
09/03/2021;3862,7;3918;3860,2;3912,5;75,21;79338;55,46;3827,64;3544,74;3854,31;58,19
10/03/2021;3921,9;3960,3;3919,2;3944,8;76,43;52288;58,57;3832,24;3548,72;3860,69;84,11
11/03/2021;3935,6;3937,7;3911,1;3936,4;75,52;55448;57,45;3836,32;3552,58;3865,96;70,44
14/03/2021;3941,8;3969,7;3923,2;3968;72,61;37620;60,52;3841,48;3556,71;3870,56;97,44
15/03/2021;3972;3980,6;3952,9;3961,9;69,64;37926;59,63;3846,21;3560,74;3874,54;87,36
16/03/2021;3962,3;3983,1;3935,1;3972,6;65,03;54532;60,72;3851,16;3564,84;3880,31;92,29
17/03/2021;3980,9;3981,1;3911,9;3916,7;64,72;66760;52,67;3853,73;3568,34;3882,75;33,95
18/03/2021;3921,8;3934,3;3886,1;3911,1;62,41;68616;51,93;3855,98;3571,75;3884,58;26,52
21/03/2021;3907,5;3957;3897,8;3942,7;63,6;42888;55,72;3859,38;3575,45;3886,84;55,86
22/03/2021;3933,6;3951;3903,2;3911;61,83;54548;51,34;3861,41;3578,78;3887,98;23,02
23/03/2021;3910,7;3941,8;3890,5;3890,5;56,69;57076;48,68;3862,55;3581,89;3888,09;2,41
24/03/2021;3899,1;3919,7;3853,7;3910,7;53,84;76420;51,36;3864,44;3585,16;3889,43;21,27
25/03/2021;3927,6;3978,2;3914,3;3976,9;52,74;46848;58,92;3868,85;3589,06;3892,49;84,41
28/03/2021;3953,1;3981,4;3942,2;3968,2;50,71;59246;57,65;3872,74;3592,83;3895,69;72,51
29/03/2021;3969,3;3974,9;3943,8;3958,7;48,8;47680;56,23;3876,11;3596,47;3897,77;60,93
30/03/2021;3956,8;3994,1;3953,5;3977,4;48,29;26100;58,41;3880,09;3600,26;3899,18;78,22
31/03/2021;3986;4021,4;3983;4021,1;49,02;22148;63,04;3885,62;3604,45;4021,1;0
01/04/2021;4029,8;4048,3;4028,4;4037,9;47,64;6642;64,67;3891,59;3608,76;4024,98;12,92
04/04/2021;4034,5;4083,6;4033,3;4077,1;49,26;16665;68,19;3898,86;3613,42;4044,09;33,01
05/04/2021;4070,2;4085,7;4062,1;4074,7;47,51;27148;67,74;3905,76;3618,01;4055,53;19,17
06/04/2021;4076,5;4083,1;4066,2;4080,1;43,78;25284;68,24;3912,6;3622,61;4061,88;18,22
07/04/2021;4095,7;4098,5;4082;4098;41,65;18804;69,92;3919,87;3627,34;4067,7;30,3
08/04/2021;4099,4;4130,1;4090,1;4127,3;40,28;19042;72,47;3928;3632,31;4076,06;51,24
11/04/2021;4120,5;4132,3;4114,8;4127,8;38,11;22478;72,51;3935,84;3637,24;4083,41;44,39
12/04/2021;4126,7;4148,1;4110;4140,6;37,17;24308;73,65;3943,87;3642,25;4091,03;49,57
13/04/2021;4142,9;4151,7;4121;4125,5;34,65;28822;69,98;3950,99;3647,06;4095,73;29,77
14/04/2021;4138,4;4174,1;4137,7;4170,6;33,3;19511;74,12;3959,6;3652,27;4102,06;68,54
15/04/2021;4163,3;4190,9;4161,8;4182,9;32,58;22936;75,13;3968,36;3657,55;4109,36;73,54
18/04/2021;4175,5;4182;4149,6;4162,4;32,74;33828;70,22;3975,97;3662,57;4115,6;46,8
19/04/2021;4168,4;4172,7;4118;4133;33,74;41492;63,79;3982,13;3667,25;4117,79;15,21
20/04/2021;4134,2;4174,7;4122,2;4173,7;34,35;26784;68,14;3989,64;3672,29;4122;51,7
21/04/2021;4169,1;4179,4;4123,2;4135,4;36,42;43978;60,74;3995,35;3676,9;4123,48;11,92
22/04/2021;4138,5;4194,3;4137;4178,6;37,04;23760;65,32;4002,54;3681,89;4126,57;52,03
25/04/2021;4180,5;4193,6;4171,5;4185,8;36,93;21906;66,03;4009,73;3686,91;4129,48;56,32
26/04/2021;4193,5;4194,2;4174,8;4186,1;37,11;22790;66,06;4016,64;3691,87;4132,24;53,86
27/04/2021;4192,5;4202,1;4181,1;4184,6;37,29;26794;65,73;4023,23;3696,78;4135,07;49,53
28/04/2021;4208,8;4218,9;4176,1;4211,4;37,49;32218;68,7;4030,61;3701,9;4139,73;71,67
29/04/2021;4200,7;4203,7;4175,1;4182,1;38,84;36998;62,35;4036,55;3706,68;4142,51;39,59
02/05/2021;4196;4210,1;4188;4193;38,11;28862;63,69;4042,69;3711,51;4186,88;6,12
03/05/2021;4186,9;4191,4;4127,5;4165,1;40,6;53026;57,99;4047,49;3716,03;4177,16;-12,06
04/05/2021;4172,8;4187,4;4160,6;4165,9;39,04;32286;58,1;4052,13;3720,5;4174,76;-8,86
05/05/2021;4171,4;4202,7;4147,5;4202,7;40,91;49690;63,14;4058,03;3725,3;4181,67;21,03
06/05/2021;4204;4238,1;4198,8;4231,7;41,34;36436;66,55;4064,85;3730,34;4189,35;42,35
09/05/2021;4234,6;4239,1;4188,4;4188,9;41,05;36646;58,01;4069,71;3734,9;4189,29;-0,39
10/05/2021;4173,1;4175,8;4110,4;4152,7;42,91;75994;51,94;4072,96;3739,06;4181,35;-28,65
